Date,Open,High,Low,Close,Volume
2023-05-01,303.334,303.334,303.334,303.334,0
2023-06-01,304.014,304.014,304.014,304.014,0
2023-07-01,304.609,304.609,304.609,304.609,0
2023-08-01,306.082,306.082,306.082,306.082,0
2023-09-01,307.276,307.276,307.276,307.276,0
2023-10-01,307.696,307.696,307.696,307.696,0
2023-11-01,308.148,308.148,308.148,308.148,0
2023-12-01,308.741,308.741,308.741,308.741,0
2024-01-01,309.698,309.698,309.698,309.698,0
2024-02-01,310.967,310.967,310.967,310.967,0
2024-03-01,312.345,312.345,312.345,312.345,0
2024-04-01,313.023,313.023,313.023,313.023,0
2024-05-01,313.175,313.175,313.175,313.175,0
2024-06-01,313.044,313.044,313.044,313.044,0
2024-07-01,313.569,313.569,313.569,313.569,0
2024-08-01,314.062,314.062,314.062,314.062,0
2024-09-01,314.732,314.732,314.732,314.732,0
2024-10-01,315.631,315.631,315.631,315.631,0
2024-11-01,316.528,316.528,316.528,316.528,0
2024-12-01,317.604,317.604,317.604,317.604,0
2025-01-01,318.961,318.961,318.961,318.961,0
2025-02-01,319.679,319.679,319.679,319.679,0
2025-03-01,319.785,319.785,319.785,319.785,0
2025-04-01,320.302,320.302,320.302,320.302,0
2025-05-01,320.62,320.62,320.62,320.62,0
2025-06-01,321.435,321.435,321.435,321.435,0
2025-07-01,322.169,322.169,322.169,322.169,0
2025-08-01,323.291,323.291,323.291,323.291,0
2025-09-01,324.245,324.245,324.245,324.245,0
2025-10-01,,,,,0
2025-11-01,325.063,325.063,325.063,325.063,0
2025-12-01,326.031,326.031,326.031,326.031,0
2026-01-01,326.588,326.588,326.588,326.588,0
2026-02-01,327.46,327.46,327.46,327.46,0
