Date,Open,High,Low,Close,Volume
2019-07-01,108.1,108.1,108.1,108.1,0
2019-08-01,108.9,108.9,108.9,108.9,0
2019-09-01,109.8,109.8,109.8,109.8,0
2019-10-01,110.8,110.8,110.8,110.8,0
2019-11-01,111.2,111.2,111.2,111.2,0
2019-12-01,111.2,111.2,111.2,111.2,0
2020-01-01,112.8,112.8,112.8,112.8,0
2020-02-01,113.7,113.7,113.7,113.7,0
2020-03-01,112.3,112.3,112.3,112.3,0
2020-04-01,111.3,111.3,111.3,111.3,0
2020-05-01,110.4,110.4,110.4,110.4,0
2020-06-01,110.4,110.4,110.4,110.4,0
2020-07-01,110.0,110.0,110.0,110.0,0
2020-08-01,111.5,111.5,111.5,111.5,0
2020-09-01,111.7,111.7,111.7,111.7,0
2020-10-01,111.4,111.4,111.4,111.4,0
2020-11-01,110.7,110.7,110.7,110.7,0
2020-12-01,111.5,111.5,111.5,111.5,0
2021-01-01,112.55,112.55,112.55,112.55,0
2021-02-01,113.2193,113.2193,113.2193,113.2193,0
2021-03-01,112.6615,112.6615,112.6615,112.6615,0
2021-04-01,112.3269,112.3269,112.3269,112.3269,0
2021-05-01,112.2154,112.2154,112.2154,112.2154,0
2021-06-01,111.7692,111.7692,111.7692,111.7692,0
2021-07-01,112.1038,112.1038,112.1038,112.1038,0
2021-08-01,112.2154,112.2154,112.2154,112.2154,0
2021-09-01,112.2154,112.2154,112.2154,112.2154,0
2021-10-01,112.9962,112.9962,112.9962,112.9962,0
2021-11-01,113.4424,113.4424,113.4424,113.4424,0
2021-12-01,113.1077,113.1077,113.1077,113.1077,0
2022-01-01,113.6655,113.6655,113.6655,113.6655,0
2022-02-01,114.3347,114.3347,114.3347,114.3347,0
2022-03-01,114.3347,114.3347,114.3347,114.3347,0
2022-04-01,114.7809,114.7809,114.7809,114.7809,0
2022-05-01,114.5578,114.5578,114.5578,114.5578,0
2022-06-01,114.5578,114.5578,114.5578,114.5578,0
2022-07-01,115.1156,115.1156,115.1156,115.1156,0
2022-08-01,115.00399999999999,115.00399999999999,115.00399999999999,115.00399999999999,0
2022-09-01,115.3387,115.3387,115.3387,115.3387,0
2022-10-01,115.4502,115.4502,115.4502,115.4502,0
2022-11-01,115.2271,115.2271,115.2271,115.2271,0
2022-12-01,115.1156,115.1156,115.1156,115.1156,0
2023-01-01,116.0079,116.0079,116.0079,116.0079,0
2023-02-01,115.4502,115.4502,115.4502,115.4502,0
2023-03-01,115.1156,115.1156,115.1156,115.1156,0
2023-04-01,114.8925,114.8925,114.8925,114.8925,0
2023-05-01,114.7809,114.7809,114.7809,114.7809,0
2023-06-01,114.5578,114.5578,114.5578,114.5578,0
2023-07-01,114.7809,114.7809,114.7809,114.7809,0
2023-08-01,115.1156,115.1156,115.1156,115.1156,0
2023-09-01,115.3387,115.3387,115.3387,115.3387,0
2023-10-01,115.2271,115.2271,115.2271,115.2271,0
2023-11-01,114.6694,114.6694,114.6694,114.6694,0
2023-12-01,114.7809,114.7809,114.7809,114.7809,0
2024-01-01,115.00399999999999,115.00399999999999,115.00399999999999,115.00399999999999,0
2024-02-01,116.23100000000001,116.23100000000001,116.23100000000001,116.23100000000001,0
2024-03-01,115.2271,115.2271,115.2271,115.2271,0
2024-04-01,115.1156,115.1156,115.1156,115.1156,0
2024-05-01,115.1156,115.1156,115.1156,115.1156,0
2024-06-01,114.7809,114.7809,114.7809,114.7809,0
2024-07-01,115.3387,115.3387,115.3387,115.3387,0
2024-08-01,115.7848,115.7848,115.7848,115.7848,0
2024-09-01,115.7848,115.7848,115.7848,115.7848,0
2024-10-01,115.5617,115.5617,115.5617,115.5617,0
2024-11-01,114.8925,114.8925,114.8925,114.8925,0
2024-12-01,114.8925,114.8925,114.8925,114.8925,0
2025-01-01,115.5617,115.5617,115.5617,115.5617,0
2025-02-01,115.3387,115.3387,115.3387,115.3387,0
2025-03-01,115.1156,115.1156,115.1156,115.1156,0
2025-04-01,115.0297,115.0297,115.0297,115.0297,0
